row,col,color_id,X,Y,Z
1,1,A1,32.55283107764931,29.519,26.120932807504996
1,2,B1,71.88522247272073,69.453,67.43623870502302
1,3,C1,44.21378221253066,49.632999999999996,99.42061391690355
1,4,D1,31.598467078869117,44.519,28.944599282578935
1,5,E1,56.37656465860092,54.965999999999994,118.76586251936199
1,6,F1,66.98361835992164,98.071,109.42341130702485
2,1,A2,70.22556098703001,62.318,13.352398183265448
2,2,B2,33.35239233817701,30.261000000000003,102.94869484808454
2,3,C2,62.65152466850645,43.498000000000005,40.23938291714343
2,4,D2,28.889546485260773,21.15,56.53641723356008
2,5,E2,75.96039160839162,105.7,29.528419580419595
2,6,F2,91.90628037181614,95.939,19.066963249725006
3,1,A3,23.50239249792028,17.318999999999996,90.1549366255766
3,2,B3,37.81951419365365,67.49100000000001,32.32510045680724
3,3,C3,44.33821364357483,25.652000000000005,14.792969857218408
3,4,D3,98.70174847984534,114.63999999999999,17.480141746869084
3,5,E3,61.46736676829268,40.663000000000004,74.97329176829268
3,6,F3,53.600506724438695,84.557,99.74975792020707
4,1,A4,144.7494863506897,159.71,206.66158127180213
4,2,B4,92.95342751890391,102.851,136.55193517740585
4,3,C4,87.77506667530615,97.16199999999999,129.84942979330003
4,4,D4,61.59955422471033,68.21600000000001,92.21282749641973
4,5,E4,31.975942385199883,35.744,50.363969078295355
4,6,F4,11.487532913662978,12.805000000000001,19.045200189528554
